Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
10100,8986996.545059,486789.6418337,21912.97068853,0,0,0,1.525811418579,1.386143944505,2653974.004299,968264.899023475,5088266.38734,0.00562292868276,0,0,0,0,2.505687436908,0,1.525811418579,1.386143944505,4.471009890888,-2.854202170324,1.44031175449,12.47100989089,-3915.770499158,745.1463501202,0,0,86410.100,2163,0,0,10096.77021595
10200,8986965.523804,487352.2671855,22130.08046512,0,0,0,1.525418700988,1.385929995458,2654048.566013,968339.461222057,5088658.214339,0.005622928681474,0,0,0,0,2.505786808697,0,1.525418700988,1.385929995458,4.470396972017,-2.854594328802,1.440161437153,12.47039697202,-3920.769383899,746.0976062575,0,0,86410.200,2163,0,0,10196.76996724
10300,8986934.462089,487914.8903493,22347.19012018,0,0,0,1.5250269031,1.385716028649,2654123.222848,968414.118542013,5089050.541203,0.005622928680188,0,0,0,0,2.505886311264,0,1.5250269031,1.385716028649,4.46978400226,-2.854985567882,1.440011110382,12.46978400226,-3925.767821439,747.0487772953,0,0,86410.300,2163,0,0,10296.76971821
10400,8986903.359914,488477.5113227,22564.29965247,0,0,0,1.524636021806,1.385502044191,2654197.974796,968488.870974976,5089443.36789,0.005622928678902,0,0,0,0,2.50598594461,0,1.524636021806,1.385502044191,4.469170981944,-2.8553758907,1.439860774261,12.46917098194,-3930.765838084,747.9998682393,0,0,86410.400,2163,0,0,10396.76946886
10500,8986872.217278,489040.1301034,22781.40906092,0,0,0,1.524246054009,1.385288042196,2654272.821848,968563.718512616,5089836.694355,0.005622928677616,0,0,0,0,2.506085708738,0,1.524246054009,1.385288042196,4.468557911389,-2.855765300142,1.439710428874,12.46855791139,-3935.763411197,748.9508747822,0,0,86410.500,2163,0,0,10496.7692192
10600,8986841.034183,489602.7466886,22998.51834421,0,0,0,1.523856996626,1.385074022778,2654347.763997,968638.661146516,5090230.520554,0.00562292867633,0,0,0,0,2.506185603648,0,1.523856996626,1.385074022778,4.467944790919,-2.856153799722,1.439560074305,12.46794479092,-3940.760494898,749.9017881928,0,0,86410.600,2163,0,0,10596.76896921
10700,8986809.810628,490165.3610761,23215.62750123,0,0,0,1.523468846586,1.384859986047,2654422.801233,968713.698868316,5090624.846443,0.005622928675044,0,0,0,0,2.506285629341,0,1.523468846586,1.384859986047,4.467331620853,-2.856541391534,1.439409710636,12.46733162085,-3945.757211538,750.8526317542,0,0,86410.700,2163,0,0,10696.76871892
10800,8986778.546613,490727.9732634,23432.73653077,0,0,0,1.523081600834,1.384645932116,2654497.933548,968788.831669613,5091019.671979,0.005622928673758,0,0,0,0,2.50638578582,0,1.523081600834,1.384645932116,4.466718401511,-2.856928079346,1.439259337949,12.46671840151,-3950.753432648,751.8033810193,0,0,86410.800,2163,0,0,10796.7684683
10900,8986747.242138,491290.5832479,23649.84543162,0,0,0,1.522695256325,1.384431861095,2654573.160935,968864.059542001,5091414.997117,0.005622928672472,0,0,0,0,2.506486073085,0,1.522695256325,1.384431861095,4.466105133209,-2.857313866041,1.439108956328,12.46610513321,-3955.749248768,752.7540532174,0,0,86410.900,2163,0,0,10896.76821737
11000,8986715.897204,491853.1910274,23866.95420265,0,0,0,1.522309810029,1.384217773095,2654648.483384,968939.382477082,5091810.821812,0.005622928671186,0,0,0,0,2.506586491138,0,1.522309810029,1.384217773095,4.465491816266,-2.857698755055,1.438958565854,12.46549181627,-3960.744594439,753.7046358921,0,0,86411.000,2163,0,0,10996.76796612
